Expander   Termometer   DeltaT 
0 0 0.04
0 1 0.03
0 2 0.06
0 3 -0.02
0 4 -0.08
0 5 -0.07
0 6 -0.00
0 7 -0.02
0 8 -0.03
0 9 -0.04
0 10 -0.02
0 11 0.02
0 12 0.04
0 13 0.04
0 14 -0.36
0 15 -0.08
1 0 -0.02
1 1 -0.08
1 2 -0.08
1 3 0.12
1 4 -0.04
1 5 -0.05
1 6 0.03
1 7 0.05
1 8 0.02
1 9 0.00
1 10 0.11
1 11 0.01
1 12 0.05
1 13 0.08
1 14 0.03
1 15 -0.07
2 0 0.05
2 1 0.04
2 2 0.03
2 3 0.00
2 4 0.08
2 5 -0.04
2 6 0.12
2 7 -0.09
2 8 -0.10
2 9 0.03
2 10 -0.01
2 11 -0.07
2 12 -0.08
2 13 -0.04
2 14 0.09
2 15 -0.04
3 0 -0.09
3 1 -0.19
3 2 -0.02
3 3 -0.01
3 4 -0.06
3 5 0.08
3 6 0.06
3 7 -0.08
3 8 0.05
3 9 -0.02
3 10 0.03
3 11 -0.02
3 12 -0.06
3 13 0.01
3 14 -0.07
3 15 -0.03
4 0 0.25
4 1 0.22
4 2 0.09
4 3 0.20
