T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16
23.875	23.813	24.063	24.125	23.938	24.125	-768.063	-2032.063	-2000.063	-2080.063	-1984.063	-2016.063	-1968.063	-2048.063	-1952.063	-2000.063	
23.875	23.813	24.063	24.125	23.938	24.125	24.125	23.875	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.063	
23.875	23.813	24.063	24.125	23.938	24.125	24.125	23.875	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.063	
23.875	23.813	24.063	24.125	23.938	24.125	24.125	23.875	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.063	
23.875	23.813	24.063	24.125	23.938	24.125	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.063	
23.875	23.813	24.063	24.125	24.000	24.125	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.250	23.813	24.125	
23.875	23.813	24.063	24.125	23.938	24.125	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.250	23.813	24.063	
23.875	23.813	24.000	24.125	23.938	24.188	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.125	
23.813	23.813	24.000	24.125	23.938	24.125	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.125	
23.875	23.813	24.000	24.125	23.938	24.125	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.125	
23.875	23.813	24.000	24.125	23.938	24.188	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.125	
23.875	23.813	24.063	24.125	23.938	24.125	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.125	
23.875	23.813	24.063	24.125	23.938	24.188	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.125	
23.875	23.813	24.063	24.125	23.938	24.125	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.063	
23.875	23.813	24.063	24.125	24.000	24.188	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.125	
23.875	23.813	24.063	24.125	23.938	24.125	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.125	
23.813	23.813	24.063	24.125	23.938	24.188	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.125	
23.875	23.813	24.063	24.125	23.938	24.188	24.125	23.875	23.875	24.188	23.938	24.250	23.875	24.313	23.813	24.125	
23.875	23.813	24.063	24.125	23.938	24.188	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.125	
23.875	23.813	24.063	24.125	23.938	24.125	24.125	23.875	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.063	
23.875	23.813	24.063	24.125	23.938	24.125	24.125	23.875	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.063	
23.875	23.813	24.000	24.125	23.938	24.125	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.125	
23.813	23.813	24.000	24.125	23.938	24.125	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.125	
23.813	23.813	24.000	24.125	23.938	24.188	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.125	
23.813	23.813	24.000	24.125	23.938	24.188	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.125	
23.875	23.813	24.000	24.125	23.938	24.188	24.125	23.938	23.875	24.188	23.938	24.250	23.875	24.313	23.813	24.063	
23.813	23.813	24.000	24.125	23.938	24.125	24.188	23.938	23.875	24.188	23.938	24.250	23.875	24.313	23.813	24.063	
23.875	23.813	24.063	24.125	23.938	24.188	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.063	
23.875	23.813	24.063	24.125	23.938	24.188	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.063	
23.875	23.813	24.063	24.125	24.000	24.188	24.188	23.938	23.875	24.188	23.938	24.250	23.875	24.313	23.813	24.125	
23.875	23.813	24.063	24.125	24.000	24.188	24.188	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.125	
23.875	23.813	24.063	24.188	24.000	24.188	24.188	23.938	23.875	24.188	23.938	24.250	23.875	24.313	23.813	24.125	
23.875	23.813	24.063	24.125	24.000	24.188	24.188	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.125	
23.875	23.813	24.063	24.188	24.000	24.188	24.188	23.938	23.875	24.188	23.938	24.250	23.875	24.313	23.813	24.125	
23.875	23.813	24.063	24.125	24.000	24.188	24.125	23.938	23.875	24.188	23.938	24.250	23.875	24.313	23.813	24.125	
23.875	23.813	24.063	24.125	24.000	24.188	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.125	
23.875	23.813	24.063	24.125	24.000	24.188	24.125	23.938	23.875	24.188	23.875	24.250	23.875	24.313	23.813	24.125	
23.875	23.813	24.063	24.188	24.000	24.188	24.188	23.938	23.875	24.188	23.938	24.250	23.938	24.313	23.875	24.125	
23.875	23.875	24.063	24.188	24.000	24.188	24.188	23.938	23.875	24.188	23.938	24.250	23.875	24.313	23.813	24.125	
23.875	23.813	24.063	24.188	24.000	24.188	24.188	23.938	23.938	24.188	23.938	24.250	23.938	24.313	23.875	24.125	
23.875	23.875	24.063	24.125	24.000	24.188	24.188	23.938	23.875	24.188	23.938	24.313	23.875	24.313	23.875	24.125	
23.875	23.875	24.063	24.125	24.000	24.188	24.125	23.938	23.938	24.188	23.875	24.250	23.875	24.313	23.813	24.125	
23.938	23.813	24.063	24.125	24.000	24.188	24.125	23.938	23.938	24.250	23.875	24.250	23.875	24.313	23.813	24.125	
