GBP1	GBP3	GBP5	GBP7
21.125	20.750	20.563	20.188	
21.125	20.750	20.563	20.188	
21.063	20.688	20.563	20.188	
21.063	20.688	20.563	20.250	
21.063	20.688	20.563	20.250	
21.063	20.750	20.563	20.250	
21.063	20.688	20.750	20.313	
21.063	20.750	20.750	20.313	
21.063	20.625	20.563	20.188	
21.125	20.688	20.563	20.188	
21.125	20.688	20.563	20.188	
21.125	20.688	20.563	20.188	
21.063	20.625	20.563	20.188	
21.063	20.625	20.688	20.188	
21.063	20.625	20.563	20.188	
21.063	20.625	20.563	20.188	
21.063	20.688	20.563	20.188	
21.063	20.625	20.563	20.250	
21.063	20.625	20.563	20.188	
21.063	20.625	20.625	20.188	
21.063	20.625	20.688	20.313	
21.063	20.625	20.688	20.313	
21.063	20.688	20.563	20.188	
21.063	20.750	20.563	20.250	
21.063	20.750	20.563	20.188	
21.125	20.750	20.563	20.188	
21.063	20.688	20.563	20.188	
21.063	20.688	20.688	20.188	
21.063	20.625	20.563	20.188	
21.063	20.750	20.563	20.188	
21.125	20.625	20.563	20.188	
21.125	20.750	20.563	20.188	
21.125	20.625	20.563	20.188	
21.125	20.688	20.625	20.313	
21.063	20.625	20.688	20.250	
21.125	20.625	20.688	20.250	
21.063	20.625	20.563	20.188	
21.125	20.625	20.563	20.313	
21.063	20.625	20.563	20.188	
21.188	20.625	20.563	20.188	
21.063	20.625	20.563	20.188	
21.188	20.625	20.688	20.188	
21.063	20.688	20.500	20.188	
21.188	20.625	20.563	20.188	
21.063	20.625	20.563	20.188	
21.063	20.625	20.563	20.188	
21.125	20.625	20.563	20.188	
21.125	20.688	20.563	20.250	
21.125	20.813	20.750	20.188	
21.125	20.813	20.750	20.188	
21.188	20.688	20.563	20.250	
21.188	20.688	20.563	20.250	
21.188	20.625	20.563	20.188	
21.188	20.750	20.500	20.188	
21.188	20.625	20.563	20.188	
21.188	20.750	20.563	20.188	
21.188	20.563	20.500	20.188	
21.188	20.625	20.500	20.188	
21.063	20.625	20.563	20.188	
21.188	20.625	20.500	20.188	
21.063	20.625	20.500	20.188	
21.125	20.625	20.625	20.250	
21.063	20.563	20.688	20.188	
21.125	20.563	20.688	20.313	
21.063	20.625	20.500	20.313	
21.063	20.625	20.563	20.313	
21.125	20.625	20.563	20.188	
21.063	20.625	20.500	20.250	
21.125	20.625	20.625	20.188	
21.125	20.625	20.625	20.188	
21.063	20.625	20.563	20.188	
21.063	20.688	20.563	20.188	
21.063	20.750	20.563	20.188	
21.063	20.750	20.563	20.188	
21.063	20.625	20.500	20.188	
21.063	20.625	20.625	20.188	
21.063	20.625	20.688	20.188	
21.063	20.750	20.688	20.313	
21.063	20.563	20.563	20.250	
21.063	20.688	20.563	20.250	
21.063	20.625	20.563	20.313	
21.063	20.563	20.563	20.313	
21.063	20.563	20.625	20.188	
21.063	20.563	20.625	20.188	
21.125	20.625	20.500	20.188	
21.125	20.625	20.500	20.188	
21.125	20.625	20.563	20.250	
21.063	20.625	20.563	20.250	
21.125	20.563	20.500	20.188	
21.063	20.563	20.625	20.188	
21.063	20.563	20.688	20.188	
21.063	20.563	20.688	20.250	
21.063	20.563	20.500	20.188	
21.063	20.563	20.563	20.188	
21.063	20.563	20.500	20.250	
21.063	20.750	20.563	20.250	
21.063	20.750	20.563	20.188	
21.125	20.750	20.563	20.250	
21.063	20.625	20.563	20.188	
21.125	20.625	20.563	20.188	
21.125	20.563	20.500	20.188	
21.125	20.688	20.563	20.188	
21.125	20.625	20.563	20.188	
21.188	20.688	20.625	20.188	
21.063	20.625	20.750	20.188	
21.188	20.563	20.750	20.250	
21.125	20.563	20.500	20.188	
21.125	20.563	20.500	20.375	
21.063	20.563	20.500	20.250	
21.063	20.563	20.500	20.250	
21.125	20.563	20.563	20.188	
21.125	20.563	20.563	20.313	
21.125	20.563	20.563	20.188	
21.125	20.563	20.563	20.188	
21.125	20.563	20.500	20.188	
21.125	20.563	20.500	20.188	
21.188	20.563	20.500	20.188	
21.188	20.563	20.625	20.188	
21.250	20.563	20.688	20.188	
